scenario_id,model,prompt_variant,n_successful_seeds,mean_prob_vector,var_prob_vector,mean_factor_ratings,var_factor_ratings,mean_seed_variance
S1_023,gpt-4o-mini,1,50,"{""Drev_commission_review"": 0.22099999999999997, ""Drev_no_action"": 0.053999999999999986, ""Drev_sack_ceo"": 0.7250000000000001}","{""Drev_commission_review"": 0.0019089999999999997, ""Drev_no_action"": 0.00018400000000000005, ""Drev_sack_ceo"": 0.002325000000000002}","[5.0, 4.86, 4.88, 3.68, 4.46, 3.08, 4.0, 3.02, 4.68, 3.5]","[0.0, 0.2003999999999999, 0.10560000000000011, 0.49759999999999976, 0.4084000000000001, 0.43359999999999954, 0.16, 0.25960000000000016, 0.2175999999999998, 0.53]",0.0014726666666666673
S1_025,gpt-4o-mini,1,100,"{""D0_minimal"": 0.04939999999999999, ""D1_review"": 0.237, ""D3_ceo_transition"": 0.7136000000000001}","{""D0_minimal"": 1.7640000000000004e-05, ""D1_review"": 0.001481, ""D3_ceo_transition"": 0.0014830400000000008}","[5.0, 4.94, 4.66, 3.58, 4.56, 3.02, 4.16, 3.08, 4.5, 3.32]","[0.0, 0.056399999999999936, 0.22440000000000038, 0.4036000000000001, 0.28640000000000004, 0.2995999999999998, 0.3344000000000003, 0.19359999999999963, 0.25, 0.6976000000000008]",0.0009938933333333334
S1_026,gpt-4o-mini,1,50,"{""D0_minimal"": 0.04999999999999999, ""D1_review"": 0.251, ""D3_ceo_transition"": 0.6990000000000001}","{""D0_minimal"": 1.925929944387236e-34, ""D1_review"": 0.0022489999999999993, ""D3_ceo_transition"": 0.0022490000000000006}","[5.0, 4.92, 4.7, 3.72, 4.5, 3.2, 4.26, 3.12, 4.4, 3.5]","[0.0, 0.0736, 0.21, 0.4415999999999995, 0.25, 0.2800000000000002, 0.23240000000000025, 0.22560000000000013, 0.23999999999999988, 0.61]",0.0014993333333333334
S1_029,gpt-4o-mini,1,132,"{""Drev_commission_review"": 0.46772727272727277, ""Drev_no_action"": 0.09363636363636363, ""Drev_sack_ceo"": 0.4386363636363636}","{""Drev_commission_review"": 0.01780847107438016, ""Drev_no_action"": 0.001968595041322314, ""Drev_sack_ceo"": 0.022257231404958677}","[4.113636363636363, 4.5, 4.136363636363637, 3.0454545454545454, 4.159090909090909, 2.977272727272727, 3.7954545454545454, 2.8863636363636362, 4.045454545454546, 3.2045454545454546]","[0.6461776859504131, 0.29545454545454547, 0.4359504132231403, 0.2706611570247936, 0.6337809917355373, 0.2949380165289256, 0.4354338842975215, 0.37345041322314004, 0.6342975206611559, 0.5263429752066124]",0.01401143250688705
S1_030,gpt-4o-mini,1,18,"{""Drev_commission_review"": 0.5333333333333333, ""Drev_no_action"": 0.125, ""Drev_sack_ceo"": 0.3416666666666666}","{""Drev_commission_review"": 0.017222222222222222, ""Drev_no_action"": 0.003958333333333334, ""Drev_sack_ceo"": 0.017013888888888884}","[4.5, 4.666666666666667, 4.5, 3.3333333333333335, 4.166666666666667, 3.1666666666666665, 3.8333333333333335, 3.1666666666666665, 4.0, 2.5]","[0.25, 0.22222222222222213, 0.25, 0.2222222222222222, 0.1388888888888889, 0.13888888888888884, 0.8055555555555559, 0.13888888888888884, 1.0, 0.25]",0.01273148148148148
S1_031,gpt-4o-mini,1,50,"{""D0_minimal"": 0.04999999999999999, ""D1_review"": 0.255, ""D3_ceo_transition"": 0.6950000000000002}","{""D0_minimal"": 1.925929944387236e-34, ""D1_review"": 0.0013249999999999996, ""D3_ceo_transition"": 0.0013249999999999996}","[5.0, 4.92, 4.74, 3.52, 4.36, 3.08, 3.86, 2.96, 4.54, 3.32]","[0.0, 0.07360000000000003, 0.1924, 0.5295999999999996, 0.3103999999999998, 0.3135999999999996, 0.3204, 0.15839999999999985, 0.24840000000000018, 0.5375999999999997]",0.0008833333333333331
S1_032,gpt-4o-mini,1,100,"{""D0_minimal"": 0.04719999999999999, ""D1_review"": 0.207, ""D3_ceo_transition"": 0.7458, ""Drev_commission_review"": 0.0, ""Drev_no_action"": 0.0, ""Drev_sack_ceo"": 0.0}","{""D0_minimal"": 0.00012416000000000006, ""D1_review"": 0.0023009999999999997, ""D3_ceo_transition"": 0.0027243600000000016, ""Drev_commission_review"": 0.0, ""Drev_no_action"": 0.0, ""Drev_sack_ceo"": 0.0}","[5.0, 4.94, 4.84, 3.62, 4.5, 3.18, 4.16, 2.98, 4.64, 3.6]","[0.0, 0.05639999999999991, 0.13440000000000019, 0.43559999999999965, 0.37, 0.46760000000000085, 0.37439999999999996, 0.2595999999999998, 0.27040000000000003, 0.4799999999999994]",0.0008582533333333335
S1_033,gpt-4o-mini,1,84,"{""D0_minimal"": 0.0, ""D1_review"": 0.0, ""D3_ceo_transition"": 0.0, ""Drev_commission_review"": 0.22499999999999998, ""Drev_no_action"": 0.05238095238095236, ""Drev_sack_ceo"": 0.7226190476190476}","{""D0_minimal"": 0.0, ""D1_review"": 0.0, ""D3_ceo_transition"": 0.0, ""Drev_commission_review"": 0.002291666666666666, ""Drev_no_action"": 0.00023242630385487514, ""Drev_sack_ceo"": 0.0028812358276644003}","[5.0, 4.9523809523809526, 4.809523809523809, 3.642857142857143, 4.595238095238095, 3.1904761904761907, 4.095238095238095, 3.0, 4.309523809523809, 3.0]","[0.0, 0.045351473922902445, 0.2018140589569161, 0.4200680272108838, 0.24092970521541965, 0.3446712018140589, 0.27664399092970565, 0.42857142857142855, 0.30895691609977327, 0.5714285714285714]",0.0009008881330309903
S1_034,gpt-4o-mini,1,16,"{""Drev_commission_review"": 0.19374999999999998, ""Drev_no_action"": 0.05, ""Drev_sack_ceo"": 0.75625}","{""Drev_commission_review"": 0.0033984375, ""Drev_no_action"": 0.0, ""Drev_sack_ceo"": 0.003398437500000003}","[5.0, 5.0, 5.0, 3.625, 4.5, 3.5, 4.0, 3.125, 4.5, 3.125]","[0.0, 0.0, 0.0, 1.234375, 0.5, 0.25, 0.0, 0.359375, 0.25, 0.359375]",0.0022656250000000007
S1_035,gpt-4o-mini,1,88,"{""Drev_commission_review"": 0.2136363636363636, ""Drev_no_action"": 0.049999999999999996, ""Drev_sack_ceo"": 0.7363636363636364}","{""Drev_commission_review"": 0.0022004132231404957, ""Drev_no_action"": 4.81482486096809e-35, ""Drev_sack_ceo"": 0.0022004132231404983}","[5.0, 4.909090909090909, 4.863636363636363, 4.0, 4.5227272727272725, 3.0681818181818183, 4.068181818181818, 3.022727272727273, 4.613636363636363, 3.409090909090909]","[0.0, 0.08264462809917349, 0.11776859504132214, 0.36363636363636365, 0.2949380165289253, 0.2908057851239669, 0.199896694214876, 0.34039256198347057, 0.23708677685950438, 0.5599173553719002]",0.0014669421487603313
S1_036,gpt-4o-mini,1,12,"{""Drev_commission_review"": 0.20000000000000004, ""Drev_no_action"": 0.05000000000000001, ""Drev_sack_ceo"": 0.75}","{""Drev_commission_review"": 0.0008333333333333335, ""Drev_no_action"": 4.81482486096809e-35, ""Drev_sack_ceo"": 0.0008333333333333348}","[5.0, 4.833333333333333, 4.833333333333333, 3.3333333333333335, 4.5, 3.6666666666666665, 3.8333333333333335, 3.1666666666666665, 4.333333333333333, 3.6666666666666665]","[0.0, 0.13888888888888892, 0.13888888888888892, 0.2222222222222222, 0.25, 0.2222222222222222, 0.13888888888888887, 0.13888888888888884, 0.22222222222222218, 0.2222222222222222]",0.0005555555555555561
S1_037,gpt-4o-mini,1,50,"{""Drev_commission_review"": 0.2674, ""Drev_no_action"": 0.04719999999999999, ""Drev_sack_ceo"": 0.6854}","{""Drev_commission_review"": 0.0017552399999999993, ""Drev_no_action"": 0.00010016000000000004, ""Drev_sack_ceo"": 0.0015568399999999997}","[5.0, 4.92, 4.66, 3.48, 4.42, 3.06, 4.0, 2.92, 4.4, 3.28]","[0.0, 0.11360000000000003, 0.30440000000000017, 0.40959999999999985, 0.4036000000000001, 0.29640000000000005, 0.2, 0.23359999999999992, 0.43999999999999995, 0.4815999999999998]",0.0011374133333333328
S1_039,gpt-4o-mini,1,300,"{""Drev_commission_review"": 0.26580000000000004, ""Drev_no_action"": 0.04739999999999999, ""Drev_sack_ceo"": 0.6868000000000001}","{""Drev_commission_review"": 0.0015523599999999996, ""Drev_no_action"": 0.00010724, ""Drev_sack_ceo"": 0.0018977599999999988}","[5.0, 4.86, 4.48, 3.6, 4.42, 3.02, 3.98, 3.02, 4.36, 3.3]","[0.0, 0.12040000000000006, 0.2896000000000006, 0.3999999999999984, 0.2835999999999998, 0.2595999999999995, 0.2995999999999996, 0.3795999999999997, 0.4703999999999998, 0.4100000000000007]",0.001185786666666666
S1_041,gpt-4o-mini,1,50,"{""D0_minimal"": 0.04699999999999999, ""D1_review"": 0.205, ""D3_ceo_transition"": 0.7480000000000001}","{""D0_minimal"": 0.00011699999999999998, ""D1_review"": 0.002425, ""D3_ceo_transition"": 0.002872000000000002}","[5.0, 4.88, 4.86, 3.68, 4.44, 3.14, 3.96, 3.0, 4.72, 3.48]","[0.0, 0.10560000000000008, 0.12039999999999988, 0.4975999999999998, 0.4463999999999999, 0.28040000000000004, 0.27839999999999987, 0.32, 0.20160000000000008, 0.4895999999999998]",0.0018046666666666673
S1_042,gpt-4o-mini,1,100,"{""Drev_commission_review"": 0.25500000000000006, ""Drev_no_action"": 0.04699999999999999, ""Drev_sack_ceo"": 0.6980000000000003}","{""Drev_commission_review"": 0.0019249999999999992, ""Drev_no_action"": 0.000141, ""Drev_sack_ceo"": 0.002396}","[5.0, 4.88, 4.8, 3.68, 4.48, 3.06, 4.02, 2.98, 4.64, 3.46]","[0.0, 0.14560000000000015, 0.16000000000000036, 0.41760000000000025, 0.28959999999999964, 0.2164, 0.17960000000000018, 0.2595999999999998, 0.23040000000000002, 0.4483999999999998]",0.001487333333333333
S1_043,gpt-4o-mini,1,50,"{""Drev_commission_review"": 0.23900000000000002, ""Drev_no_action"": 0.051, ""Drev_sack_ceo"": 0.71}","{""Drev_commission_review"": 0.0020289999999999996, ""Drev_no_action"": 4.900000000000002e-05, ""Drev_sack_ceo"": 0.002200000000000001}","[5.0, 4.92, 4.78, 3.74, 4.54, 3.14, 4.16, 2.94, 4.4, 3.34]","[0.0, 0.07360000000000001, 0.17160000000000009, 0.5523999999999996, 0.32840000000000025, 0.36040000000000005, 0.4144000000000004, 0.33640000000000003, 0.2799999999999999, 0.38440000000000046]",0.0014260000000000002
S1_045,gpt-4o-mini,1,50,"{""Drev_commission_review"": 0.24, ""Drev_no_action"": 0.05139999999999999, ""Drev_sack_ceo"": 0.7086}","{""Drev_commission_review"": 0.0013999999999999996, ""Drev_no_action"": 0.00011604000000000003, ""Drev_sack_ceo"": 0.0015640399999999998}","[5.0, 4.92, 4.84, 3.8, 4.6, 3.34, 4.06, 3.0, 4.6, 3.42]","[0.0, 0.07360000000000005, 0.13439999999999988, 0.44, 0.3199999999999999, 0.3844000000000004, 0.29640000000000016, 0.2, 0.23999999999999988, 0.7636000000000003]",0.0010266933333333331
S1_049,gpt-4o-mini,1,50,"{""Drev_commission_review"": 0.2728, ""Drev_no_action"": 0.05719999999999999, ""Drev_sack_ceo"": 0.67}","{""Drev_commission_review"": 0.0016121599999999996, ""Drev_no_action"": 0.00038016000000000015, ""Drev_sack_ceo"": 0.002099999999999999}","[5.0, 4.86, 4.72, 3.34, 4.46, 3.12, 3.98, 2.84, 4.48, 3.46]","[0.0, 0.1203999999999999, 0.24160000000000006, 0.4644000000000005, 0.3284000000000003, 0.3456, 0.3396000000000001, 0.33440000000000025, 0.24960000000000004, 0.4084000000000001]",0.001364106666666666
S1_051,gpt-4o-mini,1,50,"{""Drev_commission_review"": 0.2676, ""Drev_no_action"": 0.06060000000000001, ""Drev_sack_ceo"": 0.6718}","{""Drev_commission_review"": 0.0029582399999999996, ""Drev_no_action"": 0.00040564, ""Drev_sack_ceo"": 0.003826759999999999}","[5.0, 4.82, 4.6, 3.46, 4.26, 3.04, 4.12, 3.18, 4.52, 3.36]","[0.0, 0.1876, 0.2799999999999999, 0.4484000000000002, 0.4723999999999997, 0.19839999999999988, 0.1456000000000001, 0.38760000000000006, 0.2896000000000001, 0.5104000000000002]",0.0023968799999999992
S1_052,gpt-4o-mini,1,50,"{""Drev_no_action"": 0.1026, ""Drev_sack_ceo"": 0.8974000000000001}","{""Drev_no_action"": 0.0011712399999999998, ""Drev_sack_ceo"": 0.00117124}","[5.0, 4.98, 4.86, 3.74, 4.58, 3.22, 4.18, 3.04, 4.72, 3.18]","[0.0, 0.0196, 0.12039999999999988, 0.35239999999999994, 0.28359999999999985, 0.3316000000000002, 0.3075999999999997, 0.4384000000000001, 0.20160000000000008, 0.5076]",0.00117124
S1_053,gpt-4o-mini,1,50,"{""Drev_no_action"": 0.184, ""Drev_sack_ceo"": 0.816}","{""Drev_no_action"": 0.0042439999999999995, ""Drev_sack_ceo"": 0.004244}","[5.0, 4.92, 4.46, 3.4, 4.56, 3.16, 4.12, 3.2, 4.6, 3.2]","[0.0, 0.07360000000000005, 0.24840000000000018, 0.44, 0.28639999999999977, 0.2944000000000003, 0.18560000000000013, 0.24000000000000024, 0.23999999999999988, 0.68]",0.0042439999999999995
S1_054,gpt-4o-mini,1,100,"{""Drev_no_action"": 0.077, ""Drev_sack_ceo"": 0.9230000000000002}","{""Drev_no_action"": 0.001221, ""Drev_sack_ceo"": 0.0012209999999999983}","[5.0, 5.0, 5.0, 3.94, 4.52, 3.3, 4.36, 3.18, 4.76, 3.5]","[0.0, 0.0, 0.0, 0.3363999999999998, 0.2895999999999996, 0.37000000000000044, 0.27040000000000003, 0.3075999999999997, 0.18240000000000034, 0.81]",0.0012209999999999992
S1_055,gpt-4o-mini,1,50,"{""Drev_no_action"": 0.11319999999999998, ""Drev_sack_ceo"": 0.8867999999999999}","{""Drev_no_action"": 0.00127776, ""Drev_sack_ceo"": 0.00127776}","[5.0, 5.0, 4.86, 3.7, 4.52, 3.2, 4.08, 3.14, 4.72, 3.44]","[0.0, 0.0, 0.12039999999999998, 0.6500000000000001, 0.4495999999999998, 0.40000000000000013, 0.3935999999999995, 0.36040000000000005, 0.24160000000000006, 0.7263999999999998]",0.00127776
S1_056,gpt-4o-mini,1,50,"{""Drev_no_action"": 0.07200000000000001, ""Drev_sack_ceo"": 0.9280000000000002}","{""Drev_no_action"": 0.0007160000000000001, ""Drev_sack_ceo"": 0.0007159999999999984}","[5.0, 4.98, 4.94, 3.74, 4.7, 3.24, 4.3, 3.12, 4.88, 3.58]","[0.0, 0.019599999999999985, 0.05640000000000004, 0.6323999999999994, 0.21, 0.38240000000000024, 0.33, 0.3856, 0.1056000000000001, 0.4836000000000001]",0.0007159999999999992
